news,fakeness
"If the Congress party has made a commitment, then it will be fulfilled: Congress President @RahulGandhi 
#PratyekaHodaBharosaYatra",1
"LIVE: CP @RahulGandhi addresses public meeting in Tirupati, Andhra Pradesh. #PratyekaHodaBharosaYatra https://t.co/vH8VDgRmdM",1
Congress President @RahulGandhi on a Padyatra to Tirumala Tirupati Devasthanam during his visit to Andhra Pradesh. https://t.co/RVZZRB4Dgv,1
Congress President @RahulGandhi receives a warm welcome at Tirupati airport. https://t.co/r5bdTqtdWw,1
"RT @INCIndiaLive: LIVE: Press briefing by @ManishTewari, former Union Minister and AICC Spokesperson. https://t.co/piakgu6IiI",1
RT @INCIndiaLive: LIVE: Press briefing by @rssurjewala on Pulwama terror attacks. #ModiFailsNationalSecurity https://t.co/w39BvmSrPO,1
Warm greetings to the people of Mizoram on their state foundation day. https://t.co/OQQI3cg6V8,1
Warm greetings to our brothers and sisters from Arunachal Pradesh on their state foundation day. https://t.co/X96r2zouH9,1
"RT @INCIndiaLive: LIVE: Press briefing by @DrAMSinghvi, MP, Rajya Sabha. https://t.co/eds8R17sqa",1
Congress President @RahulGandhi welcomes the newly appointed @nsui President   Shri Neeraj Kundan. https://t.co/I4JsG8WtvJ,1
Congress President @RahulGandhi welcomes Shri @KirtiAzadMP into the Congress family. https://t.co/VYrs9Bapgu,1
"RT @INCIndiaLive: LIVE: Press briefing by @shaktisinhgohil, Incharge, Bihar PCC. https://t.co/DKm6dmAbVb",1
"Earlier today Congress President @RahulGandhi greeted Aadivasis who came to receive him.
#CongressForTribalRights https://t.co/f5OmUndNNg",1
"LIVE: Congress President @RahulGandhi addresses Public Rally in Dhuragaon, Chhattisgarh. #CongressForTribalRights https://t.co/nDWu2OWYcu",1
"Congress President @RahulGandhi arrives in Dhuragaon to address a public meeting. 
#CongressForTribalRights https://t.co/7zGMa9mAzJ",1
Congress President @RahulGandhi pays his respects to the fallen soldiers in the terrorist attack in Pulwama https://t.co/flBHsBPHF5,1
The entire opposition will stand together with our jawans and our Govt: Congress President @RahulGandhi,1
LIVE: Former PM Dr. Manmohan Singh and Congress President @RahulGandhi address media on terror attacks in Pulwama. https://t.co/R18I4ID44P,1
"Condolence message by UPA Chairperson Smt Sonia Gandhi on the terror attacks on our jawans at Pulwama, J&amp;K. https://t.co/1HQZHZ99LN",1
"LIVE: @priyankagandhi and @JM_Scindia addresses media in Lucknow, Uttar Pradesh. #NayiUmeedNayaDesh https://t.co/5ElEBHv0SQ",1
"Why is it that every time Anil Ambani is involved with the courts, there's a typo? 

https://t.co/NEWwfaWXz4",1
"LIVE: Congress President @RahulGandhi addresses Jan Aakrosh Rally in Valsad, Gujarat. #GujaratJanAakroshRally https://t.co/E5P4rmIexN",1
"Find someone who looks at you the way PM Modi looks at Anil Ambani. 
#Valentines #LoveNotHate https://t.co/xseazH0moJ",1
"You want leader or dealer to run this country. 

The opposition only has dealers but we have a strong leader as PM Modi : Shri @AmitShah",1
"In the last five years, we have carried out various pro-poor schemes, uplifting the living standard of the needy : Shri @AmitShah",1
I appeal to all the organisations to come together and uproot the atheist govt from Kerala : Shri @AmitShah,1
The day isn't far when the Communists will be booted out of Kerala just like West Bengal and Tripura : Shri @AmitShah,1
"Shri @AmitShah addresses Shakti Kendra Pramukh Sammelan in Palakkad, Kerala. https://t.co/fGZOQOwoiI",1
"LIVE: Media briefing by Dr @sambitswaraj at BJP Head Office, New Delhi. https://t.co/glO99CHIDP",1
I dare Stalin and Rahul Gandhi to give account of development of Tamil Nadu to its people: Shri @AmitShah https://t.co/0YtrxRklWM,1
Congress and DMK are synonymous with corruption and BJP and NDA stand for development: Shri @AmitShah https://t.co/WvDcrOm1qk,1
PM Narendra Modi led NDA govt will avenge the killing of our soldiers: Shri @AmitShah https://t.co/a8f3uCZKaZ,1
"LIVE: Shri @AmitShah addressing Shakti Kendra Pramukh Sammelan in Ramanathapuram, Tamil Nadu. https://t.co/4XWGOQFQLH",1
Our growth and prosperity will inevitably contribute to the global growth and development: PM Shri @narendramodi,1
Ujjwala Yojana is improving the lives of women through the use of clean cooking fuel: PM Shri @narendramodi https://t.co/KEd6IUp9uK,1
#SeoulPeacePrize belongs to the people of India: PM Shri @narendramodi https://t.co/9vQpWUKEKY,1
South Korea honour Prime Minister Shri @narendramodi with Seoul Peace Price award. https://t.co/sJpi6NxbIt,1
Schedule of BJP National President Shri @AmitShah's public programs in Kerala today.  @BJP4Keralam https://t.co/2qMhLLGRdL,1
RT @nitin_gadkari: All the above Projects are declared as the National projects.,1
LIVE: PM Shri @narendramodi addressing Indian community in South Korea. https://t.co/KHfIpQOeQg,1
"LIVE: Shri @AmitShah addressing Shakti Kendra Pramukh Sammelan in Devanahalli, Karnataka. https://t.co/HyTQDQzup3",1
"LIVE: Press Conference by Shri @rsprasad at BJP Head Office, New Delhi. https://t.co/9kChgOfHD7",1
TDP and Jagan babu's parties are corrupt and dynastic parties who can't do any good for Andhra: Shri @AmitShah #LabharthiSamparkAbhiyan,1
BJP is the only political party in the country to have a zero tolerance against terrorism: Shri @AmitShah #LabharthiSamparkAbhiyan,1
"The entire country is standing rock solid with the families of martyrs: Shri @AmitShah 
 #LabharthiSamparkAbhiyan https://t.co/polvTcgaEA",1
LIVE: PM Shri @narendramodi delivering keynote address at India-Korea Business Symposium in Seoul. https://t.co/iPejqXId0C,1
PM Modi &amp; Crown Prince of Saudi Arabia Mohammed Bin Salman at a Joint Press Meet. https://t.co/Zq9YIUajTi,1
RT @narendramodi: Memorable moments from the public meeting in Varanasi. https://t.co/Hw2O4A3FBD,1
PM @narendramodi lays foundation stone for Guru Ravidas birthplace development project. #BadalRahiHaiKashi https://t.co/UVduuTikQR,1
PM @narendramodi was welcomed by Divyangs at Kashi. #BadalRahiHaiKashi https://t.co/I0n4AOFiNm,1
RT @Gujarat15: .@shaktisinhgohil request @NH_India to do a piece on @digvijaya_28.,1
"RT @Gujarat15: .@arvindkejriwal Sir, what do you have to say about this? Is this true? https://t.co/xjvugM0vUK",1
RT @Gujarat15: .@AAPlogical @ArvindKejriwal @msisodia why @AamAadmiParty is just sharing selective news? https://t.co/76RqRcn8r1,1
"RT @ForBJPGujarat: Lok Sabha amends bill on maternity benefits, women in organized sector to get 26 weeks paid leave",1
RT @ForBJPGujarat: Women employees in the organized sector will now get six months of paid maternity leave,1
RT @ForBJPGujarat: Toyota-Suzuki partnership to contribute to employment generation in India,1
RT @ForBJPGujarat: Toyota-Suzuki partnership to open up scope for export of new technology cars from India,1
RT @BJP4Gujarat: @narendramodi https://t.co/KUVsyfBAQt,1
"RT @BJPNewsMedia: UAE, India ranked among top 25 best countries in world https://t.co/t73ZKsfCJ9 @narendramodi @PMOIndia #IndiaMarchingAhead",1
RT @BJPNewsMedia: Over 100 districts now Open defecation free: https://t.co/gQsHFRtoGs #CleanIndia,1
RT @AAPExplained: Gangadhar hi Shaktimaan hai. LG hi Modiji hai. #SameGuy https://t.co/dUD2u0nFKg,1
RT @Gujarat15: .@ArvindKejriwal @AamAadmiParty doesn't work for aam aadmi. It only works for itself. Read this https://t.co/vwnNRi38QX,1
RT @Gujarat15: .@AAPGujarat News In Print: Deja Vu For Arvind Kejriwal. New Lieutenant Governor Returns File https://t.co/4nDUy7ILl5,1
RT @Gujarat15: .@BharatSolankee and the engineers of KHAM theory are back with their divide and rule tactics @gujcongress,1
RT @ForBJPGujarat: PM @narendramodi becomes most talked about politician on Facebook,1
"RT @ForBJPGujarat: Govt to lay optical fibre network in 2.5 lakh panchayats, work completed in 68,000 villages",1
RT @ForBJPGujarat: India is going to compete with the world and projects would not be allowed to languish for years: PM @narendramodi,1
"RT @ForBJPGujarat: Close to 31 million toilets built in rural areas, resulting in a 17.5% increase sanitation: IMF",1
RT @ForBJPGujarat: IMF lauds NDA Govt for undertaking initiatives for financial inclusion,1
RT @ForBJPGujarat: Swachh Bharat mission has virtually turned into a mass movement: PM @narendramodi,1
RT @ForBJPGujarat: Over 100 districts all over the country have become open defecation free: PM @narendramodi,1
RT @ForBJPGujarat: Swachhata has to become our habit: PM @narendramodi,1
RT @BJP4Gujarat: @narendramodi https://t.co/IqGsZAdOkU,1
RT @BJP4Gujarat: @narendramodi https://t.co/53IfyDmgwc,1
RT @ForBJPGujarat: #WomenLedDevelopment https://t.co/UwZqMzWNl9,1
RT @ForBJPGujarat: #WomenLedDevelopment https://t.co/pD2hSWKYbs,1
RT @ForBJPGujarat: #WomenLedDevelopment https://t.co/asxjYnVBiR,1
RT @ForBJPGujarat: #WomenLedDevelopment https://t.co/B3l7Gua6cf,1
RT @ForBJPGujarat: #WomenLedDevelopment https://t.co/NTedKj1vgb,1
RT @ForBJPGujarat: #WomenLedDevelopment https://t.co/umurEcxqG7,1
RT @ForBJPGujarat: #WomenLedDevelopment https://t.co/r4EkiW0ltL,1
RT @ForBJPGujarat: #WomenLedDevelopment https://t.co/97hWjHOSfJ,1
RT @ForBJPGujarat: #WomenLedDevelopment https://t.co/znmZTJquYP,1
RT @ForBJPGujarat: #WomenLedDevelopment https://t.co/XVyTF7HMpH,1
RT @ForBJPGujarat: #WomenLedDevelopment https://t.co/mdeG7EbWDj,1
