news,fakeness
No force in this world can stop the Congress party from giving special status to Andhra Pradesh: Congress President? https://t.co/c6MKMN0jgY,1
"You do not have to worry about Special Status for AP, it is our commitment. Today I visited the most holy shrine in? https://t.co/5kMWBxZil1",1
PM @narendramodi did not feel the pain and suffering of the families of youngsters who sacrificed themselves. Makin? https://t.co/EUEZd4QFIf,1
"For 3 and a half hours after our soldiers were killed, PM Modi posed in front of the cameras and made a movie of hi? https://t.co/yHPTzPXMe0",1
"If the Congress party has made a commitment, then it will be fulfilled: Congress President @RahulGandhi 
#PratyekaHodaBharosaYatra",1
"In recent elections, in every speech I promised farm loan waivers within 10 days of forming the govt, and I'm proud? https://t.co/5S7HtTvKV6",1
"Mr. Modi can give a loan waiver worth ?3,50,000Cr to the most powerful businessmen of the country but he cannot wai? https://t.co/ekYWbeTjiV",1
"We said we would defend the farmer and and we gave the farmers ?70,000Cr in loan waivers: Congress President? https://t.co/30ZesY23ou",1
"We promised MGNREGA, Land Acquisition Bill- a revolutionary law which mandates that land cannot be taken from an In? https://t.co/ezz0KDVgWe",1
"Mr. Modi said that farmers will get the right price for their produce. 'Make in India', 'Start up India' and every? https://t.co/t4gZQEyxGl",1
Mr. Narendra Modi promised that he will give Special Status to AP for 10 years. In that same speech he probably tol? https://t.co/KtiStjbsUU,1
It does not matter whether there is Congress govt in AP or not. If the Congress party and the PM of India has made? https://t.co/kxGe3HeTDq,1
"When a PM speaks, India speaks. And the PM of India has promised Special Status to AP. I want to make it very clear? https://t.co/wfondgSb3y",1
"The people of AP were committed Special Status. This was committed by a PM, who is the voice of a billion people: C? https://t.co/hWWxvY6ah0",1
I want to begin my speech by telling you that the most important thing in leadership is someone's word. If what one? https://t.co/XVcV4azfg6,1
"LIVE: CP @RahulGandhi addresses public meeting in Tirupati, Andhra Pradesh. #PratyekaHodaBharosaYatra https://t.co/vH8VDgRmdM",1
UPA Chairperson Smt. Sonia Gandhi reiterates her promise of giving the state 'special status' to the people of Andh? https://t.co/QljkmnbfYU,1
"The moment the Congress Party comes to power in 2019, it is our commitment to the people of Andhra Pradesh, the fir? https://t.co/cGDqCnzqjl",1
The Congress party's vision to tackle the growing issue of National Security under the Modi govt includes setting u? https://t.co/yFvW8WLlc5,1
"RT @Pawankhera: ?Just as journalists cannot be accused of doing journalism on a tragedy, politicians too should not be accused of giving po?",1
"Nice try, but the only one pulling stunts was Modiji during his photoshoot - which took place from 2:30 to 4:30pm (? https://t.co/6DIYPnEsWr",1
Congress President @RahulGandhi receives a warm welcome at Tirupati airport. https://t.co/r5bdTqtdWw,1
"RT @INCIndiaLive: LIVE: Press briefing by @ManishTewari, former Union Minister and AICC Spokesperson. https://t.co/piakgu6IiI",1
Tune into our social media channels today to watch Congress President @RahulGandhi address a public rally in Andhra? https://t.co/14UTHXfyp2,1
Smt. Kasturba Gandhi played a critical role in the Indian independence struggle. She fought the British on various? https://t.co/ozgZj04DYQ,1
D. K. Barooah was a former President of the Congress Party and a close aide of former PM Smt. Indira Gandhi. We hon? https://t.co/TnxLcA1sWp,1
"Abul Kalam Azad was an Indian scholar, activist &amp; freedom fighter. He was a strong proponent of Mahatma Gandhi's va? https://t.co/ehphl0pCgn",1
Congress President  @RahulGandhi will be addressing a public rally in Andhra Pradesh tomorrow. You can catch him li? https://t.co/KZ6UYNRa8i,1
"For the BJP, this should be a time of introspection and self-reflection. Instead of dividing the country with their? https://t.co/HYALfeqOox",1
Congress President @RahulGandhi will be in conversation with students this coming Saturday. Stay tuned for more inf? https://t.co/v2VZM1v5Dc,1
SC has agreed to hear a review petition on the Rafale case given the incorrect information provided to the honourab? https://t.co/eSH9NBYp8Y,1
Congress President @RahulGandhi met with Lt Gen DS Hooda (retd) to institute a task force on National Security whic? https://t.co/NiE6CxjX3t,1
This International #MotherLanguageDay celebrate the incredible diversity in our languages by sharing the word for '? https://t.co/oh6wRg3njo,1
When there has been such a massive lapse in the intelligence apparatus &amp; national security we are forced to look at? https://t.co/xokNXhNMe7,1
"RT @INCSandesh: INC COMMUNIQUE

Press statement by @rssurjewala, I/C, Communications on Modi govt's behaviour after Pulwama terror attacks.?",1
"From 14th February, we mourned for our slain soldiers and stayed silent in honour of their sacrifice. Unfortunately? https://t.co/aggO5W0pZB",1
"PM Modi would rather spend his time electioneering than declare a period of national mourning, fly off to South Kor? https://t.co/vuvel3JouZ",1
RT @RahulGandhi: The brave are martyred. Their families struggle.40 Jawans give their lives but are denied the status of ?Shaheed?. While t?,1
"J&amp;K has been bleeding for the last five years, hundreds of civilians and jawans have lost their lives but the govt.? https://t.co/HSMNnoosZK",1
Attacks on our jawans in Pulwama is a result of the complete failure of the Modi govt to look into the nation's sec? https://t.co/VDfloCh7PY,1
Why was request of CRPF for movement of troops by air denied by MHA? Were the CRPF Jawans not stranded for one week? https://t.co/RngKf0h7Ki,1
"How did the terrorists know the exact route of the CRPF jawans, was there an intelligence breach? If so why has no? https://t.co/c41IaP0sOK",1
Is our intelligence so weak under NSA Ajit Doval that terrorists were able to carry 350kg of explosives through the? https://t.co/bKkIEhXMmL,1
"It has been 1 week since the deadly attacks on our jawans in Pulwama and neither the PM, the NSA nor the Home Minis? https://t.co/brLyvZQDdH",1
RT @INCIndiaLive: LIVE: Press briefing by @rssurjewala on Pulwama terror attacks. #ModiFailsNationalSecurity https://t.co/w39BvmSrPO,1
RT @INCMaharashtra: Joint public rally of Grand alliance led by @INCMaharashtra @NCPspeaks &amp; others held at Nanded today the rally began wi?,1
"Shanti Swaroop Bhatnagar was a renowned colloid chemist &amp; the first Director General of CSIR. He is known as ""fathe? https://t.co/otJzJTLkVE",1
"Ashesh Prosad Mitra was a physicist who headed the National Physics Laboratory in Delhi, India and was the Director? https://t.co/VKnxrYVR5c",1
Congress President @RahulGandhi and General Secretary Incharge UP East @priyankagandhi pay their respects at martyr? https://t.co/zsu8lRAhEq,1
Congress President @RahulGandhi &amp; General Secretary In charge UP East Smt. @priyankagandhi attend the prayer meetin? https://t.co/duXskcYv0f,1
"Adding insult to injury, the Joint Statement between @ImranKhanPTI &amp; Mohammad Bin Salman failed to condemn the viol? https://t.co/WPjWxn3w4N",1
By breaking protocol and welcoming Saudi Crown Prince Mohammad Bin Salman with such abundance - only hours after he? https://t.co/bOy8gJiUny,1
"RT @rssurjewala: National Interests 
V/S
Modiji?s 'hugplomacy'

Breaking protocol, Grand welcome to those who pledged $20 Billion to Pak  &amp;?",1
#AnilAmbani has been found guilty of contempt by the Supreme Court for failing to pay @ericsson their dues. Now the? https://t.co/yb49ohDQI9,1
Om Mehta was a powerful veteran of the Congress who served as a Union Minister in Indira Gandhi's government. We re? https://t.co/n7YzzDzRAh,1
N. Janardhana Reddy was the former CM of Andhra Pradesh and a strong Congress leader. We remember him today for his? https://t.co/mxNBf7Mv5i,1
Warm greetings to the people of Mizoram on their state foundation day. https://t.co/OQQI3cg6V8,1
Warm greetings to our brothers and sisters from Arunachal Pradesh on their state foundation day. https://t.co/X96r2zouH9,1
"RT @INCSandesh: INC COMMUNIQUE

Appointments of?AICC Secretaries for UP (West) &amp;?UP (East). https://t.co/pJed9JXANd",1
"After quashing several reports about the disaster of demonetisation, the govt. has been rejecting RTI requests to t? https://t.co/2YUsypBf9Y",1
Warm greetings on the occasion of Guru Ravidas Jayanti. May this auspicious occasion bless you and your families wi? https://t.co/N26loKTkgf,1
RT @capt_amarinder: .@BDUTT I?ve seen your tweets on the vicious threats &amp; obscenities being target at you. I?ve forwarded them to @DGPPunj?,1
A report detailing black money stashed abroad by Indians has been available with the Parliamentary Standing Committ? https://t.co/zIGepvqPpf,1
"Every citizen, no matter creed or caste has an equal stake &amp; equal right in our nation. As Indians we must band tog? https://t.co/je5B3eD0R4",1
We honour the contributions of Chhatrapati Shivaji Maharaj who laid the foundations of the Maratha empire in India.? https://t.co/dDU1moPzFA,1
U. V. Swaminatha Iyer was a Tamil scholar and researcher who was instrumental in highlighting many long-forgotten w? https://t.co/ahf3tvAdvB,1
